date,blm,tweet_count
2016-07-30,Yes,29
2016-07-31,Yes,2
2016-08-01,Yes,6
2016-08-02,Yes,51
2016-08-03,Yes,93
2016-08-04,Yes,22
2016-08-05,Yes,3
2016-08-06,Yes,4
2016-08-07,Yes,4
2016-08-08,Yes,3
2016-08-09,Yes,1
2016-08-10,Yes,1
2016-08-11,Yes,1
2016-08-12,Yes,1
2016-08-13,Yes,1
2016-08-14,Yes,0
2016-08-15,Yes,1
2016-08-16,Yes,0
2016-08-17,Yes,2
2016-08-18,Yes,1
2016-08-19,Yes,1
2016-08-20,Yes,0
2016-08-21,Yes,0
2016-08-22,Yes,3
2016-08-23,Yes,0
2016-08-24,Yes,0
2016-08-25,Yes,3
2016-08-26,Yes,7
2016-08-27,Yes,2
2016-08-28,Yes,0
2016-08-29,Yes,2
2016-08-30,Yes,1
2016-08-31,Yes,4
2016-09-01,Yes,0
2016-09-02,Yes,2
2016-09-03,Yes,13
2016-09-04,Yes,1
2016-09-05,Yes,1
2016-09-06,Yes,0
2016-09-07,Yes,4
2016-09-08,Yes,0
2016-09-09,Yes,0
2016-09-10,Yes,0
2016-09-11,Yes,3
2016-09-12,Yes,15
2016-09-13,Yes,0
2016-09-14,Yes,0
2016-09-15,Yes,0
2016-09-16,Yes,1
2016-09-17,Yes,2
2016-09-18,Yes,1
2016-09-19,Yes,0
2016-09-20,Yes,6
2016-09-21,Yes,10
2016-09-22,Yes,7
2016-09-23,Yes,0
2016-09-24,Yes,36
2016-09-25,Yes,7
2016-09-26,Yes,4
2016-09-27,Yes,3
2016-09-28,Yes,1
2016-09-29,Yes,7
2016-09-30,Yes,3
2016-10-01,Yes,0
2016-10-02,Yes,0
2016-10-03,Yes,1
2016-10-04,Yes,3
2016-10-05,Yes,13
2016-10-06,Yes,10
2016-10-07,Yes,0
2016-10-08,Yes,0
2016-10-09,Yes,0
2016-10-10,Yes,2
2016-10-11,Yes,2
2016-10-12,Yes,0
2016-10-13,Yes,2
2016-10-14,Yes,1
2016-10-15,Yes,0
2016-10-16,Yes,3
2016-10-17,Yes,5
2016-10-18,Yes,0
2016-10-19,Yes,0
2016-10-20,Yes,8
2016-10-21,Yes,1
2016-10-22,Yes,0
2016-10-23,Yes,0
2016-10-24,Yes,1
2016-10-25,Yes,0
2016-10-26,Yes,0
2016-10-27,Yes,2
2016-10-28,Yes,0
2016-10-29,Yes,0
2016-10-30,Yes,0
2016-10-31,Yes,0
2016-11-01,Yes,1
2016-11-02,Yes,4
2016-11-03,Yes,1
2016-11-04,Yes,4
2016-11-05,Yes,5
2016-11-06,Yes,0
2016-11-07,Yes,1
2016-11-08,Yes,2
2016-11-09,Yes,1
2016-11-10,Yes,8
2016-11-11,Yes,5
2016-11-12,Yes,28
2016-11-13,Yes,7
2016-11-14,Yes,2
2016-11-15,Yes,1
2016-11-16,Yes,3
2016-11-17,Yes,2
2016-11-18,Yes,1
2016-11-19,Yes,1
2016-11-20,Yes,0
2016-11-21,Yes,1
2016-11-22,Yes,0
2016-11-23,Yes,1
2016-11-24,Yes,0
2016-11-25,Yes,0
2016-11-26,Yes,2
2016-11-27,Yes,5
2016-11-28,Yes,2
2016-11-29,Yes,0
2016-11-30,Yes,1
2016-12-01,Yes,0
2016-12-02,Yes,13
2016-12-03,Yes,1
2016-12-04,Yes,0
2016-12-05,Yes,121
2016-12-06,Yes,94
2016-12-07,Yes,10
2016-12-08,Yes,0
2016-12-09,Yes,0
2016-12-10,Yes,0
2016-12-11,Yes,0
2016-12-12,Yes,4
2016-12-13,Yes,1
2016-12-14,Yes,1
2016-12-15,Yes,0
2016-12-16,Yes,2
2016-12-17,Yes,0
2016-12-18,Yes,0
2016-12-19,Yes,1
2016-12-20,Yes,2
2016-12-21,Yes,3
2016-12-22,Yes,1
2016-12-23,Yes,3
2016-12-24,Yes,1
2016-12-25,Yes,1
2016-12-26,Yes,1
2016-12-27,Yes,0
2016-12-28,Yes,0
2016-12-29,Yes,1
2016-12-30,Yes,0
2016-12-31,Yes,0
2017-01-01,Yes,0
2017-01-02,Yes,0
2017-01-03,Yes,0
2017-01-04,Yes,0
2017-01-05,Yes,1
2017-01-06,Yes,12
2017-01-07,Yes,11
2017-01-08,Yes,3
2017-01-09,Yes,7
2017-01-10,Yes,1
2017-01-11,Yes,1
2017-01-12,Yes,2
2017-01-13,Yes,0
2017-01-14,Yes,1
2017-01-15,Yes,0
2017-01-16,Yes,5
2017-01-17,Yes,7
2017-01-18,Yes,1
2017-01-19,Yes,1
2017-01-20,Yes,1
2017-01-21,Yes,2
2017-01-22,Yes,11
2017-01-23,Yes,1
2017-01-24,Yes,0
2017-01-25,Yes,2
2017-01-26,Yes,8
2017-01-27,Yes,7
2017-01-28,Yes,3
2017-01-29,Yes,3
2017-01-30,Yes,7
2017-01-31,Yes,19
2017-02-01,Yes,37
2017-02-02,Yes,26
2017-02-03,Yes,20
2017-02-04,Yes,32
2017-02-05,Yes,16
2017-02-06,Yes,8
2017-02-07,Yes,9
2017-02-08,Yes,4
2017-02-09,Yes,9
2017-02-10,Yes,52
2017-02-11,Yes,13
2017-02-12,Yes,9
2017-02-13,Yes,7
2017-02-14,Yes,29
2017-02-15,Yes,26
2017-02-16,Yes,8
2017-02-17,Yes,2
2017-02-18,Yes,5
2017-02-19,Yes,4
2017-02-20,Yes,8
2017-02-21,Yes,13
2017-02-22,Yes,2
2017-02-23,Yes,5
2017-02-24,Yes,4
2017-02-25,Yes,16
2017-02-26,Yes,13
2017-02-27,Yes,6
2017-02-28,Yes,9
2017-03-01,Yes,6
2017-03-02,Yes,7
2017-03-03,Yes,3
2017-03-04,Yes,10
2017-03-05,Yes,5
2017-03-06,Yes,6
2017-03-07,Yes,3
2017-03-08,Yes,2
2017-03-09,Yes,3
2017-03-10,Yes,3
2017-03-11,Yes,2
2017-03-12,Yes,5
2017-03-13,Yes,2
2017-03-14,Yes,7
2017-03-15,Yes,36
2017-03-16,Yes,1
2017-03-17,Yes,11
2017-03-18,Yes,1
2017-03-19,Yes,1
2017-03-20,Yes,0
2017-03-21,Yes,2
2017-03-22,Yes,1
2017-03-23,Yes,0
2017-03-24,Yes,0
2017-03-25,Yes,0
2017-03-26,Yes,22
2017-03-27,Yes,1
2017-03-28,Yes,4
2017-03-29,Yes,0
2017-03-30,Yes,0
2017-03-31,Yes,0
2017-04-01,Yes,7
2017-04-02,Yes,0
2017-04-03,Yes,1
2017-04-04,Yes,3
2017-04-05,Yes,6
2017-04-06,Yes,6
2017-04-07,Yes,5
2017-04-08,Yes,7
2017-04-09,Yes,6
2017-04-10,Yes,3
2017-04-11,Yes,0
2017-04-12,Yes,0
2017-04-13,Yes,3
2017-04-14,Yes,1
2017-04-15,Yes,2
2017-04-16,Yes,1
2017-04-17,Yes,0
2017-04-18,Yes,0
2017-04-19,Yes,0
2017-04-20,Yes,0
2017-04-21,Yes,0
2017-04-22,Yes,0
2017-04-23,Yes,0
2017-04-24,Yes,0
2017-04-25,Yes,2
2017-04-26,Yes,1
2017-04-27,Yes,0
2017-04-28,Yes,2
2017-04-29,Yes,1
2017-04-30,Yes,1
2017-05-01,Yes,0
2017-05-02,Yes,3
2017-05-03,Yes,2
2017-05-04,Yes,5
2017-05-05,Yes,6
2017-05-06,Yes,0
2017-05-07,Yes,5
2017-05-08,Yes,0
2017-05-09,Yes,0
2017-05-10,Yes,0
2017-05-11,Yes,1
2017-05-12,Yes,1
2017-05-13,Yes,0
2017-05-14,Yes,0
2017-05-15,Yes,11
2017-05-16,Yes,3
2017-05-17,Yes,4
2017-05-18,Yes,4
2017-05-19,Yes,0
2017-05-20,Yes,2
2017-05-21,Yes,0
2017-05-22,Yes,1
2017-05-23,Yes,0
