date,type,tweet_count
2010-02-16,original,26
2010-02-17,original,27
2010-02-18,original,49
2010-02-19,original,23
2010-02-20,original,46
2010-02-21,original,83
2010-02-22,original,38
2010-02-23,original,31
2010-02-24,original,117
2010-02-25,original,53
2010-02-26,original,51
2010-02-27,original,25
2010-02-28,original,24
2010-03-01,original,24
2010-03-02,original,89
2010-03-03,original,55
2010-03-04,original,34
2010-03-05,original,48
2010-03-06,original,14
2010-03-07,original,12
2010-03-08,original,23
2010-03-09,original,28
2010-03-10,original,19
2010-03-11,original,27
2010-03-12,original,27
2010-03-13,original,44
2010-03-14,original,10
2010-03-15,original,18
2010-03-16,original,13
2010-03-17,original,21
2010-03-18,original,18
2010-03-19,original,28
2010-03-20,original,28
2010-03-21,original,19
2010-03-22,original,64
2010-03-23,original,31
2010-03-24,original,37
2010-03-25,original,30
2010-03-26,original,68
2010-03-27,original,68
2010-03-28,original,27
2010-03-29,original,48
2010-03-30,original,46
2010-03-31,original,28
2010-04-01,original,38
2010-04-02,original,32
2010-04-03,original,31
2010-04-04,original,34
2010-04-05,original,25
2010-04-06,original,40
2010-04-07,original,34
2010-04-08,original,23
2010-04-09,original,24
2010-04-10,original,18
2010-04-11,original,26
2010-04-12,original,21
2010-04-13,original,55
2010-04-14,original,52
2010-04-15,original,28
2010-04-16,original,32
2010-04-17,original,29
2010-04-18,original,35
2010-04-19,original,20
2010-04-20,original,29
2010-04-21,original,45
2010-04-22,original,67
2010-04-23,original,20
2010-04-24,original,40
2010-04-25,original,15
2010-04-26,original,28
2010-04-27,original,79
2010-04-28,original,16
2010-04-29,original,25
2010-04-30,original,23
2010-05-01,original,22
2010-05-02,original,46
2010-05-03,original,27
2010-05-04,original,38
2010-05-05,original,28
2010-05-06,original,32
2010-05-07,original,26
2010-05-08,original,20
2010-05-09,original,12
2010-05-10,original,13
2010-05-11,original,16
2010-05-12,original,28
2010-05-13,original,45
2010-05-14,original,36
2010-05-15,original,18
2010-05-16,original,34
2010-05-17,original,72
2010-05-18,original,99
2010-05-19,original,138
2010-05-20,original,41
2010-05-21,original,42
2010-05-22,original,28
2010-05-23,original,23
2010-05-24,original,33
2010-05-25,original,27
2010-05-26,original,71
2010-05-27,original,32
2010-05-28,original,23
2010-05-29,original,16
2010-05-30,original,18
2010-05-31,original,8
2010-06-01,original,28
2010-06-02,original,16
2010-06-03,original,19
2010-06-04,original,23
